Filename,Target,Jupiter Host,Facility
ADP_2014_09_17T11_21_33.097,HD93083,Y,HARPS
ADP_2014_09_17T11_24_24.977,HD92588,N,HARPS
ADP_2014_09_17T11_23_52.667,HD28701,N,HARPS
ADP_2014_10_02T10_01_55.520,HD63454,Y,HARPS
ADP_2014_10_01T10_19_18.327,HD73256,N,HARPS
ADP_2014_10_07T13_37_17.563,HIP115577,N,HARPS
ADP_2014_10_06T10_05_37.147,HD27894,Y,HARPS
ADP_2014_09_26T16_53_49.460,HIP95962,N,HARPS
ADP_2017_04_09T01_02_37.883,HD78429,N,HARPS
ADP_2016_09_20T08_08_13.066,HD52919,N,FEROS
ADP_2014_09_16T11_04_02.307,HR506,N,HARPS
ADP_2018_01_27T01_03_28.299,HD63765,Y,HARPS
ADP_2014_09_25T15_35_55.257,HD81639,N,HARPS
ADP_2014_10_01T10_19_15.603,HD114783,Y,HARPS
ADP_2014_12_07T19_00_31.133,HD92719,N,HARPS
ADP_2014_09_17T11_21_29.183,HD140901,N,HARPS
ADP_2014_09_24T09_43_38.980,HD78747,N,HARPS
ADP_2014_10_02T10_03_21.993,HD203432,N,HARPS
ADP_2014_09_18T12_14_41.237,HD21749,N,HARPS
ADP_2014_09_17T11_20_45.030,HD71479,N,HARPS
ADP_2014_10_02T10_02_06.757,HD88742,N,HARPS
ADP_2017_09_05T11_25_18.191,HD192263,Y,FEROS
ADP_2014_09_17T11_21_30.533,HD11505,N,HARPS
ADP_2016_09_21T07_07_18.780,HD84117,N,FEROS
ADP_2014_10_25T17_00_46.607,HD70642,Y,HARPS
ADP_2014_09_16T11_06_11.957,HD38973,N,HARPS
ADP_2014_10_07T08_35_36.933,HIP41317,N,HARPS
ADP_2014_09_17T11_20_36.747,HD140901,N,HARPS
ADP_2014_09_18T12_15_54.797,HD20619,N,HARPS
ADP_2014_09_26T16_51_00.360,HD95521,N,HARPS
ADP_2014_10_01T10_23_31.513,HD222669,N,HARPS
ADP_2014_10_01T10_21_31.710,HD92788,Y,HARPS
ADP_2014_10_01T10_19_55.743,HD9796,N,HARPS
ADP_2014_09_24T09_44_12.250,HD150433,N,HARPS
ADP_2016_09_28T06_54_50.801,tauCeti,N,FEROS
ADP_2014_09_23T11_04_46.157,HD20619,N,HARPS
ADP_2014_10_02T10_01_42.517,HD188559,N,HARPS
ADP_2014_09_17T11_21_16.443,HD114613,Y,HARPS
ADP_2014_10_02T10_02_01.843,HD185615,N,HARPS
ADP_2014_09_23T11_00_57.790,HD13724,N,HARPS
ADP_2014_09_23T11_00_38.567,HD51608,N,HARPS
ADP_2017_04_04T01_02_26.409,HD82943,Y,HARPS
ADP_2018_12_02T01_02_30.633,HD52265,Y,HARPS
ADP_2014_09_23T11_01_43.660,HD199960,N,HARPS
ADP_2016_09_20T08_08_12.932,HD128620,N,FEROS
ADP_2014_10_01T10_20_46.830,HD221146,N,HARPS
ADP_2018_01_27T01_03_28.221,HD121504,Y,HARPS
ADP_2014_09_25T15_35_45.477,HD223121,N,HARPS
ADP_2014_09_17T11_23_33.943,HD89454,N,HARPS
ADP_2014_10_01T10_21_59.870,HD71334,N,HARPS
ADP_2016_07_16T01_03_14.691,HD8828,N,HARPS
ADP_2014_09_16T11_05_50.723,HD203384,N,HARPS
ADP_2014_10_06T10_05_18.423,HD157347,N,HARPS
ADP_2014_09_24T09_41_34.570,HD22879,N,HARPS
ADP_2014_09_18T12_10_00.390,HD50590,N,HARPS
ADP_2014_09_26T16_52_15.210,HD21019,N,HARPS
ADP_2014_09_18T12_10_47.243,HD11226,N,HARPS
ADP_2014_09_24T09_41_12.953,HD45184,N,HARPS
ADP_2015_04_27T08_05_48.337,HD65277,N,HARPS
ADP_2021_01_08T01_12_13.143,HD76151,N,HARPS
ADP_2014_10_31T18_00_35.373,HIP36512,N,HARPS
ADP_2014_09_16T11_04_22.437,HD11964A,Y,HARPS
ADP_2014_09_16T11_05_00.690,HD111031,N,HARPS
ADP_2014_09_25T15_33_04.550,HD123265,N,HARPS
ADP_2014_09_24T09_41_56.020,HD105837,N,HARPS
ADP_2014_10_01T10_19_07.883,HD92788,Y,HARPS
ADP_2014_09_26T16_54_36.237,HD22879,N,HARPS
ADP_2014_09_25T15_34_37.763,HD28821,N,HARPS
ADP_2014_10_01T10_21_14.813,HD108147,Y,HARPS
ADP_2019_02_15T01_11_47.670,HD107148,Y,HARPS
ADP_2015_01_06T22_55_20.013,HIP54582,N,HARPS
ADP_2015_11_30T02_00_55.370,HD65907A,N,HARPS
ADP_2017_09_06T01_01_59.853,HD15337,N,HARPS
ADP_2014_09_23T11_04_25.493,HD223121,N,HARPS
ADP_2014_09_26T16_53_58.407,HD21693,N,HARPS
ADP_2016_09_13T06_46_50.851,HD8638,N,HARPS
ADP_2014_10_02T10_03_19.783,HD197210,N,HARPS
ADP_2014_09_18T12_12_14.247,HD144585,N,HARPS
ADP_2014_09_25T15_34_16.643,HD69655,N,HARPS
ADP_2014_10_02T10_03_15.927,HD111232,Y,HARPS
ADP_2016_09_26T07_15_32.762,HD22049,Y,FEROS
ADP_2015_01_25T22_55_26.820,HD20003,N,HARPS
ADP_2016_09_21T06_44_02.188,HD20010,N,FEROS
ADP_2018_03_22T09_48_57.827,HD107148,Y,HARPS
ADP_2014_10_02T10_00_58.627,HD12387,N,HARPS
ADP_2014_09_25T15_33_35.657,HD71835,N,HARPS
ADP_2014_09_26T16_51_10.583,HD215152,N,HARPS
ADP_2014_09_17T11_20_50.167,HD65277,N,HARPS
ADP_2014_10_01T10_22_23.260,HD188559,N,HARPS
ADP_2014_10_07T13_37_18.577,HD55,N,HARPS
ADP_2015_11_13T02_00_39.703,HD65907A,N,HARPS
ADP_2014_10_02T10_01_34.813,HD63454,Y,HARPS
ADP_2014_10_01T10_20_10.480,HD210277,Y,HARPS
ADP_2014_09_16T11_05_48.583,HD78429,N,HARPS
ADP_2014_10_02T10_02_19.860,HD157338,N,HARPS
ADP_2017_08_03T08_51_52.031,HD6434,Y,FEROS
ADP_2016_09_20T12_43_03.851,HD10226,N,FEROS
ADP_2014_09_26T16_52_00.347,HD192961,N,HARPS
ADP_2014_09_17T11_24_13.860,HD47186,Y,HARPS
ADP_2017_11_29T01_03_49.755,HD27894,Y,HARPS
ADP_2018_09_06T10_12_42.117,HD7570,N,FEROS
ADP_2014_10_02T10_00_39.057,HD12387,N,HARPS
ADP_2014_10_01T10_22_42.943,HD27894,Y,HARPS
ADP_2016_09_20T09_32_34.981,eps-Indi,Y,FEROS
ADP_2014_09_18T12_13_37.263,HD154962,N,HARPS
ADP_2017_01_02T01_00_59.983,HD71835,N,HARPS
ADP_2014_09_26T16_51_18.343,HD196800,N,HARPS
ADP_2014_09_16T11_04_27.747,HD30306,N,HARPS
ADP_2014_09_17T11_24_10.490,HD85390,N,HARPS
ADP_2014_09_16T11_06_31.877,HD14747,N,HARPS
ADP_2014_09_24T09_41_20.077,HD109409,N,HARPS
ADP_2017_07_10T01_01_55.728,HD11964A,Y,HARPS
ADP_2014_09_24T09_43_13.443,HD70642,Y,HARPS
ADP_2015_07_25T23_55_31.550,HIP14501,N,HARPS
ADP_2014_09_24T09_42_28.080,HD47186,Y,HARPS
ADP_2014_10_01T10_22_59.553,HD169830,Y,HARPS
ADP_2014_09_16T11_04_28.397,HD203384,N,HARPS
ADP_2014_10_02T10_02_47.050,HD221420,Y,HARPS
ADP_2014_09_16T11_04_46.160,HD101930,Y,HARPS
ADP_2018_09_06T10_12_42.269,HD23484,N,FEROS
ADP_2017_01_08T01_01_32.825,HD28471,N,HARPS
ADP_2014_09_26T16_51_22.567,HD11505,N,HARPS
ADP_2014_09_18T12_17_39.603,HD20619,N,HARPS
ADP_2014_09_17T11_22_34.977,HD205536,N,HARPS
ADP_2014_09_25T15_34_29.383,HD81639,N,HARPS
ADP_2014_09_16T11_06_38.130,HD16417,N,HARPS
ADP_2014_09_29T13_27_03.403,HD38973,N,HARPS
ADP_2014_09_18T12_12_21.637,HD144585,N,HARPS
ADP_2014_09_25T15_33_54.973,HD192961,N,HARPS
ADP_2016_09_27T07_02_44.059,HD216803,N,FEROS
ADP_2014_09_26T16_53_30.663,HD198075,N,HARPS
ADP_2015_12_05T02_00_39.513,HD65907A,N,HARPS
ADP_2014_09_23T11_02_36.770,HD21749,N,HARPS
ADP_2019_02_28T01_12_40.038,HD52265,Y,HARPS
ADP_2014_09_25T15_33_01.227,HD83529,N,HARPS
ADP_2014_09_17T11_22_18.667,HD171990,N,HARPS
ADP_2016_10_14T01_01_26.187,HD38858,N,HARPS
ADP_2014_09_25T15_32_54.043,HD197210,N,HARPS
ADP_2016_02_04T01_02_52.830,HD65277,N,HARPS
ADP_2014_10_02T09_59_36.617,HD89454,N,HARPS
ADP_2014_09_16T11_04_55.067,HD78429,N,HARPS
ADP_2016_02_04T01_02_52.563,HD35854,N,HARPS
ADP_2014_09_16T11_08_06.410,HD153851,N,HARPS
ADP_2016_09_02T01_03_46.001,HD8828,N,HARPS
ADP_2016_09_20T12_43_03.943,HD30306,N,FEROS
ADP_2014_09_16T11_05_44.273,HD222669,N,HARPS
ADP_2014_09_18T12_14_57.447,HD144585,N,HARPS
ADP_2014_09_17T11_21_17.880,HD38973,N,HARPS
ADP_2014_10_02T10_00_33.630,HR4979,Y,HARPS
ADP_2014_09_16T11_06_32.350,HD216777,N,HARPS
ADP_2014_09_26T16_53_34.207,HD195564,N,HARPS
ADP_2014_09_24T09_43_49.513,HD330075,Y,HARPS
ADP_2014_09_17T11_24_16.803,HD171665,N,HARPS
ADP_2020_03_12T01_06_23.495,HD111232,Y,HARPS
ADP_2018_04_17T01_04_36.354,HD107148,Y,HARPS
ADP_2014_09_25T15_35_06.800,HD70642,Y,HARPS
ADP_2014_09_17T11_23_47.663,HD111031,N,HARPS
ADP_2016_09_27T09_50_39.311,HIP41926,N,FEROS
ADP_2014_09_16T11_07_12.957,HD202206,N,HARPS
ADP_2014_09_18T12_10_02.570,HD162396,N,HARPS
ADP_2018_05_26T01_03_19.584,HD40307,N,HARPS
ADP_2014_09_18T12_09_42.923,HD101930,Y,HARPS
ADP_2014_09_18T12_15_55.257,HD154962,N,HARPS
ADP_2018_11_19T01_15_09.644,HD208487,Y,HARPS
ADP_2018_10_29T01_13_37.425,HD40307,N,HARPS
ADP_2016_04_19T13_38_08.033,HD45364,Y,HARPS
ADP_2014_10_07T08_34_14.887,HD117207,Y,HARPS
ADP_2014_09_23T11_03_38.917,HD220507,N,HARPS
ADP_2014_09_24T09_41_13.590,HD88218,N,HARPS
ADP_2014_09_26T16_51_53.063,HD134606,N,HARPS
ADP_2017_11_13T10_08_21.639,HD195019,Y,FEROS
ADP_2014_09_17T11_22_24.880,HD222595,N,HARPS
ADP_2014_10_01T10_20_38.423,HD16270,N,HARPS
ADP_2014_10_02T10_00_42.267,HD209458,Y,HARPS
ADP_2014_09_25T15_33_05.993,HD96423,N,HARPS
ADP_2015_09_14T02_00_39.460,HD22879,N,HARPS
ADP_2016_06_29T01_02_50.327,HD177565,N,HARPS
ADP_2014_10_06T10_04_57.440,HD111031,N,HARPS
ADP_2014_09_17T11_22_45.823,HD361,N,HARPS
ADP_2014_09_26T16_51_18.617,HD72579,N,HARPS
ADP_2017_09_09T01_03_07.706,HD208487,Y,HARPS
ADP_2014_10_06T10_05_04.930,HIP14501,N,HARPS
ADP_2014_10_02T10_01_08.070,HD222669,N,HARPS
ADP_2014_10_02T10_00_17.460,HD221420,Y,HARPS
ADP_2014_10_02T10_00_25.980,HD100777,Y,HARPS
ADP_2016_03_13T01_02_18.267,HD65277,N,HARPS
ADP_2014_10_06T10_04_48.960,HD157347,N,HARPS
ADP_2014_09_24T09_42_39.527,HD137388,Y,HARPS
ADP_2014_09_24T09_44_54.993,HD38858,N,HARPS
ADP_2014_09_16T11_03_56.647,HD3569,N,HARPS
ADP_2014_09_16T11_06_21.607,HD222669,N,HARPS
ADP_2014_09_25T15_35_40.603,HD10647,Y,HARPS
ADP_2016_09_28T06_54_48.863,tauCeti,N,FEROS
ADP_2014_09_16T11_06_20.607,HD14747,N,HARPS
ADP_2014_10_01T10_19_20.160,HD13724,N,HARPS
ADP_2014_09_25T15_35_00.743,HD109409,N,HARPS
ADP_2014_09_18T12_11_35.213,HD137388,Y,HARPS
ADP_2014_09_23T11_04_26.463,HD73524,N,HARPS
ADP_2017_02_26T01_02_28.565,HIP41317,N,HARPS
ADP_2014_09_18T12_11_34.213,HD157830,N,HARPS
ADP_2014_09_16T11_08_02.023,HD44420,N,HARPS
ADP_2016_09_27T11_56_49.767,tauCeti,N,FEROS
ADP_2015_09_29T02_01_12.643,HD55,N,HARPS
ADP_2014_10_02T10_00_34.420,HD160691,Y,HARPS
ADP_2016_09_20T08_08_13.230,HD147513,Y,FEROS
ADP_2014_10_01T10_20_21.990,HD224789,N,HARPS
ADP_2017_11_09T01_02_51.136,HD196800,N,HARPS
ADP_2016_02_12T01_02_31.467,HD85390,N,HARPS
ADP_2014_09_16T11_07_13.900,HR506,N,HARPS
ADP_2015_03_19T23_55_26.447,HD70642,Y,HARPS
ADP_2014_10_02T09_59_36.713,HD101930,Y,HARPS
ADP_2018_09_06T10_12_42.101,HD5133,N,FEROS
ADP_2014_10_01T10_20_53.137,HD90812,N,HARPS
ADP_2018_01_27T01_03_28.309,HD63765,Y,HARPS
ADP_2014_09_25T15_34_18.397,HD8859,N,HARPS
ADP_2014_09_24T09_42_08.460,HD40397,N,HARPS
ADP_2014_10_06T10_07_31.990,HIP41317,N,HARPS
ADP_2015_06_07T23_56_01.873,HD144628,N,HARPS
ADP_2014_09_24T09_44_14.703,HD13808,N,HARPS
ADP_2014_09_18T12_09_58.533,HD154088,N,HARPS
ADP_2014_09_18T12_12_19.630,HD150433,N,HARPS
ADP_2014_09_17T11_24_05.953,HD50806,N,HARPS
ADP_2021_01_07T16_42_45.501,HD76151,N,HARPS
ADP_2014_09_26T16_51_28.300,HIP36512,N,HARPS
ADP_2014_09_25T15_37_12.017,HD195564,N,HARPS
ADP_2017_02_15T01_01_59.826,HD114853,N,HARPS
ADP_2019_10_29T01_08_36.663,HD216435,Y,HARPS
ADP_2014_09_16T11_04_38.240,HD216435,Y,HARPS
ADP_2014_10_02T09_59_26.543,HD122862,N,HARPS
ADP_2015_05_28T23_55_43.083,HD183658,N,HARPS
ADP_2014_09_25T15_34_34.770,HD109409,N,HARPS
ADP_2014_10_06T10_03_47.097,HIP14501,N,HARPS
ADP_2014_09_23T11_01_54.860,HD134060,N,HARPS
ADP_2014_10_02T10_03_10.437,HD160691,Y,HARPS
ADP_2014_09_26T16_52_16.203,HD125881,N,HARPS
ADP_2017_08_03T08_51_51.059,GJ86,Y,FEROS
ADP_2014_09_24T09_42_21.363,HD151504,N,HARPS
ADP_2014_09_16T11_06_39.413,HD189625,N,HARPS
ADP_2014_09_18T12_10_44.600,HD115674,N,HARPS
ADP_2014_09_23T11_00_52.747,HD222582,Y,HARPS
ADP_2019_12_10T01_12_09.140,HD55,N,HARPS
ADP_2016_02_16T01_02_54.280,HD31822,N,HARPS
ADP_2014_09_18T12_10_07.437,HD21019,N,HARPS
ADP_2014_09_26T16_54_24.453,HD134060,N,HARPS
ADP_2014_09_23T11_05_08.397,HD73256,N,HARPS
ADP_2014_09_17T11_23_31.950,HD148303,N,HARPS
ADP_2014_10_02T10_03_45.660,HD117618,Y,HARPS
ADP_2014_09_26T16_55_14.120,HD21693,N,HARPS
ADP_2014_09_16T11_04_22.587,HD223171,N,HARPS
ADP_2014_09_26T16_51_24.653,HIP108468,N,HARPS
ADP_2018_02_23T01_01_45.513,HD63765,Y,HARPS
ADP_2015_12_09T10_14_36.370,HD65907A,N,HARPS
ADP_2015_05_31T23_55_51.327,HD144628,N,HARPS
ADP_2014_10_02T10_03_25.010,HD66221,N,HARPS
ADP_2014_09_18T12_10_46.520,HD147512,N,HARPS
ADP_2014_09_26T16_54_37.807,HD220367,N,HARPS
ADP_2014_09_16T11_04_15.453,HD6348,N,HARPS
ADP_2014_09_18T12_12_29.887,HD183658,N,HARPS
ADP_2014_09_24T09_43_46.337,HD101930,Y,HARPS
ADP_2014_10_06T10_06_10.163,HD71479,N,HARPS
ADP_2014_09_17T11_22_50.240,HD104263,N,HARPS
ADP_2020_12_14T01_15_37.703,HD4915,N,HARPS
ADP_2014_09_26T16_54_30.713,HD223121,N,HARPS
ADP_2014_09_24T09_44_10.613,HD967,N,HARPS
ADP_2014_09_17T11_22_15.660,HD92588,N,HARPS
ADP_2018_12_02T01_02_30.629,HD52265,Y,HARPS
ADP_2014_09_26T16_54_23.497,HD38382,N,HARPS
ADP_2014_10_02T10_01_09.457,HD162396,N,HARPS
ADP_2015_07_27T13_30_48.967,HIP95962,N,HARPS
ADP_2014_09_25T15_32_44.340,HD114853,N,HARPS
ADP_2014_09_16T11_05_31.237,HD45364,Y,HARPS
ADP_2018_11_20T01_15_03.447,HD10647,Y,HARPS
ADP_2016_09_28T06_54_49.117,tauCeti,N,FEROS
ADP_2014_09_29T13_27_02.527,HD23456,N,HARPS
ADP_2014_09_17T11_22_26.057,HD8828,N,HARPS
ADP_2014_09_29T13_27_14.117,HD22879,N,HARPS
ADP_2014_10_06T10_05_58.650,HD20003,N,HARPS
ADP_2014_09_16T11_05_28.900,HD203432,N,HARPS
ADP_2014_09_17T11_21_16.377,HD4915,N,HARPS
ADP_2014_09_17T11_20_19.110,HD19994,Y,HARPS
ADP_2014_09_18T12_17_28.783,HD171990,N,HARPS
ADP_2014_10_01T10_19_08.233,HD13724,N,HARPS
ADP_2014_09_16T11_06_06.700,HD157172,N,HARPS
ADP_2014_10_02T10_02_10.003,HD45364,Y,HARPS
ADP_2017_11_29T01_03_49.763,HD27894,Y,HARPS
ADP_2014_09_17T11_23_55.713,HD140901,N,HARPS
ADP_2014_09_16T11_06_55.340,HD48611,N,HARPS
ADP_2014_09_17T11_22_53.137,HD38973,N,HARPS
ADP_2014_09_24T09_41_18.007,HD13808,N,HARPS
ADP_2014_09_25T15_32_54.537,HD13060,N,HARPS
ADP_2014_09_23T11_03_52.873,HD20003,N,HARPS
ADP_2014_09_16T11_04_09.757,HD136894,N,HARPS
ADP_2016_07_19T01_02_27.005,HIP95962,N,HARPS
ADP_2016_09_27T11_56_47.513,tauCeti,N,FEROS
ADP_2014_09_25T15_32_50.903,HD55,N,HARPS
ADP_2014_10_01T10_20_12.903,HD1461,N,HARPS
ADP_2014_09_23T11_04_16.553,HD199960,N,HARPS
ADP_2014_09_18T12_14_37.743,HD212301,Y,HARPS
ADP_2014_09_17T11_24_26.437,HD44447,N,HARPS
ADP_2014_09_18T12_12_49.520,HD136894,N,HARPS
ADP_2014_09_23T11_01_17.180,HD78747,N,HARPS
ADP_2014_09_24T09_44_01.930,HD73121,N,HARPS
ADP_2014_09_23T11_04_53.173,HD177409,N,HARPS
ADP_2014_09_29T13_27_18.063,HD65562,N,HARPS
ADP_2014_10_01T10_19_23.237,HD63454,Y,HARPS
ADP_2014_10_07T08_34_46.360,HD102117,Y,HARPS
ADP_2016_03_14T01_02_52.120,HD71835,N,HARPS
ADP_2014_10_07T08_33_59.890,HD83443,Y,HARPS
ADP_2014_09_18T12_13_07.980,HD114613,Y,HARPS
ADP_2014_10_02T10_01_06.480,HD23079,Y,HARPS
ADP_2014_09_25T15_34_27.270,HD19467,N,HARPS
ADP_2014_10_01T10_20_48.900,HD196050,Y,HARPS
ADP_2014_09_25T15_34_47.683,HD72579,N,HARPS
ADP_2014_09_25T15_36_14.490,HD44420,N,HARPS
ADP_2014_09_24T09_43_15.370,HD7199,Y,HARPS
ADP_2014_09_25T15_35_45.343,HD73121,N,HARPS
ADP_2014_09_26T16_50_56.843,HD21938,N,HARPS
ADP_2014_09_17T11_24_45.537,HD213941,N,HARPS
ADP_2019_11_10T01_17_16.259,HD216435,Y,HARPS
ADP_2014_09_17T11_23_14.887,HD171990,N,HARPS
ADP_2014_09_26T16_52_07.570,HD215152,N,HARPS
ADP_2016_09_27T07_02_43.793,HD216803,N,FEROS
ADP_2014_10_01T10_21_27.117,HD169830,Y,HARPS
ADP_2014_09_18T12_13_41.280,HD207700,N,HARPS
ADP_2014_10_06T10_06_02.160,HIP95962,N,HARPS
ADP_2014_10_01T10_22_22.493,HD162396,N,HARPS
ADP_2015_04_25T23_55_35.357,HD195564,N,HARPS
ADP_2014_09_26T16_51_31.417,HD128674,N,HARPS
ADP_2014_09_25T15_33_10.077,HD109409,N,HARPS
ADP_2014_09_16T11_04_12.593,HD185615,N,HARPS
ADP_2016_09_27T07_02_44.757,HD147513,Y,FEROS
ADP_2014_10_02T10_01_54.193,HD27894,Y,HARPS
ADP_2016_06_22T01_04_46.974,HD121504,Y,HARPS
ADP_2014_09_16T11_05_42.690,HD157338,N,HARPS
ADP_2019_05_18T01_11_12.007,HIP78330,N,HARPS
ADP_2014_09_25T15_37_00.063,HD71835,N,HARPS
ADP_2016_08_10T01_03_16.152,HD27894,Y,HARPS
ADP_2016_09_25T01_03_03.649,HD55,N,HARPS
ADP_2014_09_16T11_07_43.493,HD209742,N,HARPS
ADP_2014_09_25T15_36_07.217,HD1388,N,HARPS
ADP_2014_09_17T11_22_49.520,GJ1048,N,HARPS
ADP_2014_10_01T10_19_17.893,HD224789,N,HARPS
ADP_2015_07_09T23_55_33.283,HD221356,N,HARPS
ADP_2014_09_23T11_05_53.013,HD136894,N,HARPS
ADP_2014_10_01T10_19_42.797,HD2638,Y,HARPS
ADP_2014_09_18T12_15_02.087,HD157830,N,HARPS
ADP_2019_05_14T01_11_42.457,HD76151,N,HARPS
ADP_2014_10_02T10_01_04.923,HD4307,N,HARPS
ADP_2014_10_06T10_03_53.683,HD40307,N,HARPS
ADP_2015_02_02T00_55_23.267,HD70642,Y,HARPS
ADP_2014_09_18T12_17_43.110,HD161098,N,HARPS
ADP_2014_09_25T15_33_24.903,HD21938,N,HARPS
ADP_2018_07_27T08_55_27.746,HD208487,Y,HARPS
ADP_2014_09_17T11_23_09.687,HD162236,N,HARPS
