Classes_Y_N_Jupiters
Star Name,Hot Jupiter Host?
KIC 7419318,No
KIC 7603200,No
KIC 8156120,Yes
KIC 8753657,No
KIC 9139084,No
KIC 9881662,No
KIC 11361646,No
KIC 10337258,No
KIC 10552611,No
KIC 10878263,No
KIC 10982872,No
KIC 11015108,No
KIC 11074541,No
KIC 11100383,No
KIC 11194032,No
KIC 11442793,Yes
KIC 11521793,No
KIC 11621223,No
KIC 12404954,No
KIC 4815520,Yes
KIC 7175184,No
KIC 8494142,Yes
KIC 6471021,Yes
KIC 8686097,No
KIC 3323887,Yes
KIC 3353050,No
KIC 3446746,No
KIC 3656121,No
KIC 3942670,No
KIC 3964109,No
KIC 3217264,No
KIC 5444548,No
KIC 9115800,Yes
KIC 10843590,No
KIC 10937029,Yes
KIC 11709124,Yes
KIC 12302530,No
KIC 2438264,No
KIC 3847138,No
KIC 4633570,No
KIC 5640085,No
KIC 7269974,No
KIC 7440748,No
KIC 7977197,No
KIC 8845205,No
KIC 8890783,Yes
KIC 10577994,No
KIC 11015323,No
KIC 11192998,No
KIC 12404305,No
KIC 3239945,Yes
KIC 4852528,No
KIC 5689351,No
KIC 6266741,No
KIC 6381846,No
KIC 6422155,No
KIC 6451936,No
KIC 8015907,No
KIC 8017703,No
KIC 8022244,No
KIC 8037145,No
KIC 8806123,No
KIC 9941859,No
KIC 10554999,No
KIC 11823054,No
KIC 12058931,No
KIC 4165473,No
KIC 4270253,No
KIC 6665695,No
KIC 6786037,Yes
KIC 7445445,No
KIC 7595157,No
KIC 8008206,No
KIC 8120608,No
KIC 8193178,No
KIC 8344004,No
KIC 8355239,No
KIC 8616637,No
KIC 9020160,No
KIC 9146018,No
KIC 9782691,No
KIC 10600261,No
KIC 10656823,No
KIC 11773022,Yes
KIC 12068975,No
KIC 3541946,No
KIC 4563268,No
KIC 4644604,No
KIC 4656049,No
KIC 4827723,No
KIC 5113822,No
KIC 5120087,No
KIC 5121511,No
KIC 5941160,No
KIC 5966154,No
KIC 6020753,No
KIC 6062088,No
KIC 6267535,No
KIC 6347299,No
KIC 6365156,No
KIC 6425957,No
KIC 6442340,No
KIC 6685609,No
KIC 6707835,No
KIC 7033671,No
KIC 7040629,No
KIC 7124613,No
KIC 7277317,Yes
KIC 7447200,No
KIC 7509886,No
KIC 7515212,No
KIC 7529266,Yes
KIC 7764367,No
KIC 8161561,No
KIC 8361905,No
KIC 8557374,No
KIC 8738735,No
KIC 8802165,No
KIC 8805348,No
KIC 8962094,No
KIC 9002278,No
KIC 9458613,Yes
KIC 9530945,No
KIC 9578686,No
KIC 9590976,No
KIC 9597345,No
KIC 9702072,No
KIC 9873254,No
KIC 9884104,No
KIC 9950612,No
KIC 9963524,No
KIC 9964801,No
KIC 9965439,No
KIC 10002866,No
KIC 10227020,No
KIC 10271806,No
KIC 10358759,No
KIC 10601284,No
KIC 10797460,No
KIC 10872983,No
KIC 10910878,No
KIC 11018648,No
KIC 11754553,No
KIC 3342970,No
KIC 4139816,No
KIC 4725681,No
KIC 5252423,No
KIC 5436502,Yes
KIC 5456651,No
KIC 5531576,No
KIC 6428700,No
KIC 6587280,No
KIC 6849310,No
KIC 6948054,No
KIC 6949607,Yes
KIC 7109675,Yes
KIC 7134976,No
KIC 7287995,No
KIC 7366258,Yes
KIC 7373451,No
KIC 7434875,No
KIC 7455287,No
KIC 757450,Yes
KIC 7870390,No
KIC 7907423,No
KIC 8150320,No
KIC 8226994,No
KIC 8247638,No
KIC 8689373,No
KIC 9334289,No
KIC 9388479,No
KIC 9466668,No
KIC 9480189,Yes
KIC 9710326,No
KIC 9787239,No
KIC 9823457,No
KIC 8561063,No
KIC 3632418,No
KIC 2854698,No
KIC 7295235,No
KIC 2302548,No
KIC 10154388,No
KIC 1871056,No
KIC 5809890,No
KIC 5956342,No
KIC 10166274,No
KIC 2854914,No
KIC 3116412,No
KIC 2849805,No
KIC 3114811,No
KIC 6362874,No
KIC 8410727,No
KIC 10426656,No
KIC 10528068,No
KIC 10468940,No
KIC 3859079,No
KIC 3962243,No
KIC 3939150,Yes
KIC 3839488,No
KIC 3442055,No
KIC 4043190,No
KIC 3640905,Yes
KIC 6690082,No
KIC 6448890,Yes
KIC 8751933,Yes
KIC 8564587,No
KIC 8800954,No
KIC 8583696,No
KIC 8628758,No
KIC 8822366,No
KIC 8700771,No
KIC 10790387,Yes
KIC 10864656,Yes
KIC 10538176,No
KIC 10730034,No
KIC 10858691,No
KIC 10973814,No
KIC 10586208,No
KIC 10854768,No
KIC 10585852,No
KIC 4455231,No
KIC 4155328,Yes
KIC 4136466,No
KIC 6936909,No
KIC 6962977,No
KIC 6932987,No
KIC 6934291,No
KIC 7211221,No
KIC 9455556,No
KIC 8950853,No
KIC 9006449,No
KIC 11401182,No
KIC 11176127,No
KIC 11014932,No
KIC 11389771,No
KIC 11193263,No
KIC 11027624,Yes
KIC 11600889,Yes
KIC 11043167,No
KIC 12365184,Yes
KIC 12403119,No
KIC 7898352,Yes
KIC 7871954,No
KIC 7691260,No
KIC 9821454,No
KIC 11656246,No
KIC 4741126,No
KIC 11669125,No
KIC 12159249,No
KIC 5371776,No
KIC 5438099,No
KIC 10027323,No
KIC 10004738,No
KIC 5438757,No
KIC 9886661,No
KIC 5009743,No
KIC 10963065,No
KIC 7215603,No
KIC 5561278,No
KIC 8685497,No
KIC 9277896,No
KIC 11547505,No
KIC 5183357,No
KIC 6310636,No
KIC 6616218,No
KIC 6803855,No
KIC 7626370,No
KIC 7703955,No
KIC 8230616,No
KIC 10905746,No
KIC 8242434,No
KIC 9909735,No
KIC 10676014,No
KIC 11017901,Yes
KIC 11298298,No
KIC 4644952,No
KIC 8240797,No
KIC 9455325,No
KIC 5621125,No
KIC 7870032,No
KIC 9597058,No
KIC 8277797,No
KIC 2989404,No
KIC 5375194,No
KIC 6468138,No
KIC 11709244,No
KIC 10657406,No
KIC 7430034,No
KIC 8826168,No
KIC 9763348,No
KIC 9662811,No
KIC 7286173,No
KIC 8167996,No
KIC 8978528,No
KIC 9967771,No
KIC 11622600,No
KIC 10454632,No
KIC 11758544,No
KIC 9549648,No
KIC 10063802,No
KIC 7449136,No
KIC 8680979,No
KIC 8689793,No
KIC 11673802,Yes
KIC 4263293,No
KIC 7668663,No
KIC 9955598,No
KIC 5511081,No
KIC 9696358,No
KIC 11127479,No
KIC 4914923,No
KIC 6278762,No
KIC 10332883,No
KIC 10386984,No
KIC 10388286,No
KIC 10489206,No
KIC 10599206,No
KIC 11493431,No
KIC 11611600,No
KIC 11923270,No
KIC 2715135,No
KIC 3218908,No
KIC 3833007,No
KIC 3966801,No
KIC 4249725,No
KIC 4454752,No
KIC 4913852,No
KIC 5526527,No
KIC 5617854,No
KIC 5686174,No
KIC 5794379,No
KIC 6693640,No
KIC 7955580,No
KIC 8505670,No
